Sl No,Roll No,Name,A1,A2,A3,Mid Assign,Q1,Q2,MidQ,ESQ,ES Assign,Mini Project
reserved,reserved,Max Marks,70,115,110,125,85,60,45,25,25,25
reserved,reserved,Weightage,0,0,0,0,0,0,0,0,0,100
1,1801ee07,Riordan Rothwell,42,34,36,9,10,34,18,23,23,100
2,1801ee40,Nicolais Drewe,-2,63,19,56,38,60,24,21,21,99
3,1801ee62,Cornall Faill,11,4,45,-1,40,22,15,21,21,98
4,1801ee24,Morgen Bane,-4,55,49,-5,3,-5,35,22,22,97
5,1801ee28,Ezequiel Blamires,5,19,-5,29,14,-4,30,20,20,96
6,1801ee64,Jed McCaughen,9,62,22,39,58,37,4,21,21,95
7,1801ee53,Julianna Briddock,11,-1,42,-8,18,32,40,21,21,94
8,1801ee26,Torr Retallick,59,1,-6,4,9,25,33,24,24,93
9,1801cb14,Magdalene Morrant,5,-9,62,23,49,-5,7,21,21,92
10,1801me06,Dalli Ivanusyev,64,32,34,-2,27,12,1,24,24,91
11,1801me62,Madlen Coley,28,-5,39,17,31,59,32,20,20,90
12,1801me39,Ben Rowledge,14,21,15,13,1,39,14,20,20,89
13,1801ee45,Zoe Klemke,56,32,0,30,24,28,22,20,20,88
14,1801ee22,Gregorius Capp,49,52,37,15,40,49,45,21,21,87
15,1801ee32,Lara Baynom,46,-1,51,20,25,16,24,23,23,86
16,1801ee14,Sharia O'Shevlin,1,63,49,-1,-8,13,33,25,25,85
17,1801ee09,Emelia Dahill,62,18,-3,-9,1,15,29,20,20,84
18,1801ee55,Melisandra Eustes,-10,27,36,6,1,63,44,23,23,83
19,1801ee52,Hobie Lownes,57,31,55,47,14,4,38,20,20,82
20,1801ee38,Gerik Vedeneev,13,4,9,11,47,39,28,24,24,81
21,1801ce31,Krispin Gehring,62,16,6,62,50,-9,13,23,23,80
22,1801ee21,Nata Stroton,45,44,37,49,53,-7,39,23,23,79
23,1801ee66,Hollyanne Haylett,39,64,9,27,5,27,36,22,22,78
24,1801ce08,Felizio Craigmyle,57,32,42,15,24,25,34,21,21,77
25,1801ee25,Lorette Myrkus,52,10,47,28,11,0,35,23,23,76
26,1801me44,Lenci Zorro,35,64,39,-9,9,35,30,21,21,75
27,1801cb07,Gonzales Cordobes,20,-5,52,2,51,20,13,20,20,74
28,1801ce15,Robbin Whapple,28,44,64,60,1,61,6,21,21,73
29,1801ee50,Nertie Greig,34,-10,26,45,22,29,7,24,24,72
