Sl No,Roll No,Name,Assignment 1,Assignment 2,Assignment 3,MidSem,EndSem,Quiz1,Quiz2,Assesment1,Assignment 1,Assignment 2,Assignment 3,MidSem,EndSem,Quiz1,Quiz2,Assesment1,Assignment 1,Assignment 2,Assignment 3,MidSem,EndSem,Quiz1,Quiz2,Assesment1,
reserved,reserved,Max Marks,70,115,110,125,85,60,45,25,Converted to 100,Converted to 100,Converted to 100,Converted to 100,Converted to 100,Converted to 100,Converted to 100,Converted to 100,Converted to 100,Converted to 100,Converted to 100,Converted to 100,Converted to 100,Converted to 100,Converted to 100,Converted to 100,
reserved,reserved,Weightage,0.15,0.15,0.2,0.1,0.15,0.05,0.1,0.1,0.15,0.15,0.2,0.1,0.15,0.05,0.1,0.1,0.15,0.15,0.2,0.1,0.15,0.05,0.1,0.1,Total
1,1801ee07,Riordan Rothwell,42,34,36,9,10,34,18,23,60.00,29.57,32.73,7.20,11.76,56.67,40.00,92.00,9.00,4.43,6.55,0.72,1.76,2.83,4.00,9.20,38.50
2,1801ee40,Nicolais Drewe,-2,63,19,56,38,60,24,21,-2.86,54.78,17.27,44.80,44.71,100.00,53.33,84.00,-0.43,8.22,3.45,4.48,6.71,5.00,5.33,8.40,41.16
3,1801ee62,Cornall Faill,11,4,45,-1,40,22,15,21,15.71,3.48,40.91,-0.80,47.06,36.67,33.33,84.00,2.36,0.52,8.18,-0.08,7.06,1.83,3.33,8.40,31.61
4,1801ee24,Morgen Bane,-4,55,49,-5,3,-5,35,22,-5.71,47.83,44.55,-4.00,3.53,-8.33,77.78,88.00,-0.86,7.17,8.91,-0.40,0.53,-0.42,7.78,8.80,31.52
5,1801ee28,Ezequiel Blamires,5,19,-5,29,14,-4,30,20,7.14,16.52,-4.55,23.20,16.47,-6.67,66.67,80.00,1.07,2.48,-0.91,2.32,2.47,-0.33,6.67,8.00,21.76
6,1801ee64,Jed McCaughen,9,62,22,39,58,37,4,21,12.86,53.91,20.00,31.20,68.24,61.67,8.89,84.00,1.93,8.09,4.00,3.12,10.24,3.08,0.89,8.40,39.74
7,1801ee53,Julianna Briddock,11,-1,42,-8,18,32,40,21,15.71,-0.87,38.18,-6.40,21.18,53.33,88.89,84.00,2.36,-0.13,7.64,-0.64,3.18,2.67,8.89,8.40,32.36
8,1801ee26,Torr Retallick,59,1,-6,4,9,25,33,24,84.29,0.87,-5.45,3.20,10.59,41.67,73.33,96.00,12.64,0.13,-1.09,0.32,1.59,2.08,7.33,9.60,32.61
9,1801cb14,Magdalene Morrant,5,-9,62,23,49,-5,7,21,7.14,-7.83,56.36,18.40,57.65,-8.33,15.56,84.00,1.07,-1.17,11.27,1.84,8.65,-0.42,1.56,8.40,31.20
10,1801me06,Dalli Ivanusyev,64,32,34,-2,27,12,1,24,91.43,27.83,30.91,-1.60,31.76,20.00,2.22,96.00,13.71,4.17,6.18,-0.16,4.76,1.00,0.22,9.60,39.50
11,1801me62,Madlen Coley,28,-5,39,17,31,59,32,20,40.00,-4.35,35.45,13.60,36.47,98.33,71.11,80.00,6.00,-0.65,7.09,1.36,5.47,4.92,7.11,8.00,39.30
12,1801me39,Ben Rowledge,14,21,15,13,1,39,14,20,20.00,18.26,13.64,10.40,1.18,65.00,31.11,80.00,3.00,2.74,2.73,1.04,0.18,3.25,3.11,8.00,24.04
13,1801ee45,Zoe Klemke,56,32,0,30,24,28,22,20,80.00,27.83,0.00,24.00,28.24,46.67,48.89,80.00,12.00,4.17,0.00,2.40,4.24,2.33,4.89,8.00,38.03
14,1801ee22,Gregorius Capp,49,52,37,15,40,49,45,21,70.00,45.22,33.64,12.00,47.06,81.67,100.00,84.00,10.50,6.78,6.73,1.20,7.06,4.08,10.00,8.40,54.75
15,1801ee32,Lara Baynom,46,-1,51,20,25,16,24,23,65.71,-0.87,46.36,16.00,29.41,26.67,53.33,92.00,9.86,-0.13,9.27,1.60,4.41,1.33,5.33,9.20,40.88
16,1801ee14,Sharia O'Shevlin,1,63,49,-1,-8,13,33,25,1.43,54.78,44.55,-0.80,-9.41,21.67,73.33,100.00,0.21,8.22,8.91,-0.08,-1.41,1.08,7.33,10.00,34.27
17,1801ee09,Emelia Dahill,62,18,-3,-9,1,15,29,20,88.57,15.65,-2.73,-7.20,1.18,25.00,64.44,80.00,13.29,2.35,-0.55,-0.72,0.18,1.25,6.44,8.00,30.24
18,1801ee55,Melisandra Eustes,-10,27,36,6,1,63,44,23,-14.29,23.48,32.73,4.80,1.18,105.00,97.78,92.00,-2.14,3.52,6.55,0.48,0.18,5.25,9.78,9.20,32.81
19,1801ee52,Hobie Lownes,57,31,55,47,14,4,38,20,81.43,26.96,50.00,37.60,16.47,6.67,84.44,80.00,12.21,4.04,10.00,3.76,2.47,0.33,8.44,8.00,49.27
20,1801ee38,Gerik Vedeneev,13,4,9,11,47,39,28,24,18.57,3.48,8.18,8.80,55.29,65.00,62.22,96.00,2.79,0.52,1.64,0.88,8.29,3.25,6.22,9.60,33.19
21,1801ce31,Krispin Gehring,62,16,6,62,50,-9,13,23,88.57,13.91,5.45,49.60,58.82,-15.00,28.89,92.00,13.29,2.09,1.09,4.96,8.82,-0.75,2.89,9.20,41.59
22,1801ee21,Nata Stroton,45,44,37,49,53,-7,39,23,64.29,38.26,33.64,39.20,62.35,-11.67,86.67,92.00,9.64,5.74,6.73,3.92,9.35,-0.58,8.67,9.20,52.67
23,1801ee66,Hollyanne Haylett,39,64,9,27,5,27,36,22,55.71,55.65,8.18,21.60,5.88,45.00,80.00,88.00,8.36,8.35,1.64,2.16,0.88,2.25,8.00,8.80,40.43
24,1801ce08,Felizio Craigmyle,57,32,42,15,24,25,34,21,81.43,27.83,38.18,12.00,28.24,41.67,75.56,84.00,12.21,4.17,7.64,1.20,4.24,2.08,7.56,8.40,47.50
25,1801ee25,Lorette Myrkus,52,10,47,28,11,0,35,23,74.29,8.70,42.73,22.40,12.94,0.00,77.78,92.00,11.14,1.30,8.55,2.24,1.94,0.00,7.78,9.20,42.15
26,1801me44,Lenci Zorro,35,64,39,-9,9,35,30,21,50.00,55.65,35.45,-7.20,10.59,58.33,66.67,84.00,7.50,8.35,7.09,-0.72,1.59,2.92,6.67,8.40,41.79
27,1801cb07,Gonzales Cordobes,20,-5,52,2,51,20,13,20,28.57,-4.35,47.27,1.60,60.00,33.33,28.89,80.00,4.29,-0.65,9.45,0.16,9.00,1.67,2.89,8.00,34.80
28,1801ce15,Robbin Whapple,28,44,64,60,1,61,6,21,40.00,38.26,58.18,48.00,1.18,101.67,13.33,84.00,6.00,5.74,11.64,4.80,0.18,5.08,1.33,8.40,43.17
29,1801ee50,Nertie Greig,34,-10,26,45,22,29,7,24,48.57,-8.70,23.64,36.00,25.88,48.33,15.56,96.00,7.29,-1.30,4.73,3.60,3.88,2.42,1.56,9.60,31.76
30,1801ce21,Johan Plet,41,9,-1,25,36,-4,16,21,58.57,7.83,-0.91,20.00,42.35,-6.67,35.56,84.00,8.79,1.17,-0.18,2.00,6.35,-0.33,3.56,8.40,29.75
31,1801ee12,Teddy Buesden,48,4,-2,50,34,9,8,20,68.57,3.48,-1.82,40.00,40.00,15.00,17.78,80.00,10.29,0.52,-0.36,4.00,6.00,0.75,1.78,8.00,30.97
32,1801cb25,Viki Runham,5,5,52,45,54,-7,33,23,7.14,4.35,47.27,36.00,63.53,-11.67,73.33,92.00,1.07,0.65,9.45,3.60,9.53,-0.58,7.33,9.20,40.26
33,1801ee23,Paloma Pentony,6,40,29,55,35,47,17,25,8.57,34.78,26.36,44.00,41.18,78.33,37.78,100.00,1.29,5.22,5.27,4.40,6.18,3.92,3.78,10.00,40.05
34,1801ee27,Julie Adran,8,14,1,44,54,58,21,19,11.43,12.17,0.91,35.20,63.53,96.67,46.67,76.00,1.71,1.83,0.18,3.52,9.53,4.83,4.67,7.60,33.87
35,1801ee29,Meyer Ioselev,49,47,21,26,60,2,45,24,70.00,40.87,19.09,20.80,70.59,3.33,100.00,96.00,10.50,6.13,3.82,2.08,10.59,0.17,10.00,9.60,52.88
36,1801me11,Blondie Broady,14,-5,14,-4,-3,43,7,19,20.00,-4.35,12.73,-3.20,-3.53,71.67,15.56,76.00,3.00,-0.65,2.55,-0.32,-0.53,3.58,1.56,7.60,16.78
37,1801ee08,Loretta Tanton,51,-2,10,21,3,8,5,20,72.86,-1.74,9.09,16.80,3.53,13.33,11.11,80.00,10.93,-0.26,1.82,1.68,0.53,0.67,1.11,8.00,24.47
38,1801me37,Jere Carrier,45,10,36,42,52,15,42,24,64.29,8.70,32.73,33.60,61.18,25.00,93.33,96.00,9.64,1.30,6.55,3.36,9.18,1.25,9.33,9.60,50.21
39,1801ee58,Lilli Petheridge,-2,19,13,61,-3,24,27,19,-2.86,16.52,11.82,48.80,-3.53,40.00,60.00,76.00,-0.43,2.48,2.36,4.88,-0.53,2.00,6.00,7.60,24.36
40,1801ee48,Sergent Ridolfi,61,38,28,49,-10,52,23,25,87.14,33.04,25.45,39.20,-11.76,86.67,51.11,100.00,13.07,4.96,5.09,3.92,-1.76,4.33,5.11,10.00,44.72
41,1801cb11,Eleni Shone,12,1,11,12,36,45,25,22,17.14,0.87,10.00,9.60,42.35,75.00,55.56,88.00,2.57,0.13,2.00,0.96,6.35,3.75,5.56,8.80,30.12
42,1801ee51,Karie Kemble,22,52,35,14,7,2,14,25,31.43,45.22,31.82,11.20,8.24,3.33,31.11,100.00,4.71,6.78,6.36,1.12,1.24,0.17,3.11,10.00,33.49
43,1801me36,Tabbie Bentham3,26,39,23,58,12,42,24,23,37.14,33.91,20.91,46.40,14.12,70.00,53.33,92.00,5.57,5.09,4.18,4.64,2.12,3.50,5.33,9.20,39.63
44,1801ee47,Udall Thairs,52,-9,8,41,6,16,37,21,74.29,-7.83,7.27,32.80,7.06,26.67,82.22,84.00,11.14,-1.17,1.45,3.28,1.06,1.33,8.22,8.40,33.72
45,1801cb16,Northrup Choke,26,17,51,61,40,31,33,19,37.14,14.78,46.36,48.80,47.06,51.67,73.33,76.00,5.57,2.22,9.27,4.88,7.06,2.58,7.33,7.60,46.52
